cluster,n,pct,educ_mean,pid7_mean,race_mean,ideo5_mean
0,27183,0.45305,4.010226980097856,1.8963322664900857,1.7392120075046904,2.2095076900434174
1,32816,0.5469333333333334,3.287298878595807,5.258258166747928,1.7074597757191614,3.917184832967569
2,1,1.6666666666666667e-05,5.0,1.0,1.0,1.0
